time_utc,cams_total_aerosol_optical_depth_at_469nm,cams_total_aerosol_optical_depth_at_550nm,cams_total_aerosol_optical_depth_at_670nm,cams_total_aerosol_optical_depth_at_865nm,cams_gems_total_column_ozone,cams_total_cloud_cover,source
2003-01-14 03:00:00+00:00,0.6581931,0.521178,0.37941146,0.23933667,0.0054661124,0.95406884,cams_eac4
2003-01-14 06:00:00+00:00,0.6942178,0.5500401,0.4008856,0.25335217,0.005432744,0.94594246,cams_eac4
2003-01-14 09:00:00+00:00,0.6365332,0.5046798,0.36833578,0.23332566,0.0054517533,0.9177631,cams_eac4
2003-01-14 12:00:00+00:00,0.37301686,0.29689443,0.21805081,0.13936983,0.005389117,0.9459427,cams_eac4
2003-01-14 15:00:00+00:00,0.42077345,0.33465886,0.2453683,0.15637392,0.005438014,0.94812894,cams_eac4
2003-01-14 18:00:00+00:00,0.49828246,0.39514852,0.2883535,0.18258448,0.005567871,0.9546892,cams_eac4
2003-01-14 21:00:00+00:00,0.6271567,0.49729052,0.36233386,0.22865838,0.0056417435,0.96938556,cams_eac4
2003-01-15 00:00:00+00:00,0.5832257,0.46273026,0.33724168,0.21281654,0.0057349782,0.98252696,cams_eac4
2003-01-15 03:00:00+00:00,0.52610314,0.41691083,0.3034652,0.19123879,0.0057467106,0.938458,cams_eac4
2003-01-15 06:00:00+00:00,0.501655,0.39790085,0.290092,0.18319917,0.005803946,0.7564786,cams_eac4
2003-01-15 09:00:00+00:00,0.46188408,0.3666384,0.26776707,0.1695506,0.005847927,0.029754639,cams_eac4
2003-01-15 12:00:00+00:00,0.20316924,0.16213167,0.11943917,0.07662382,0.0057837954,0.6724134,cams_eac4
2003-01-15 15:00:00+00:00,0.18709625,0.14943263,0.11030565,0.07106979,0.0058420626,0.61248064,cams_eac4
2003-01-15 18:00:00+00:00,0.19060746,0.1518658,0.11174541,0.07174356,0.005943683,0.7093957,cams_eac4
2003-01-15 21:00:00+00:00,0.14540567,0.115179636,0.08416617,0.053587966,0.006020597,0.02435834,cams_eac4
2003-01-16 00:00:00+00:00,0.09958974,0.07862443,0.057186823,0.036233842,0.006034377,0.0,cams_eac4
2003-01-16 03:00:00+00:00,0.11544151,0.09120805,0.066413105,0.042143226,0.0060025263,0.0,cams_eac4
2003-01-16 06:00:00+00:00,0.1165538,0.09252839,0.06785433,0.0435117,0.005997519,0.0,cams_eac4
2003-01-16 09:00:00+00:00,0.10432397,0.08317958,0.06145461,0.039894924,0.005992901,0.0040694475,cams_eac4
2003-01-16 12:00:00+00:00,0.057271924,0.046189845,0.034761004,0.023214888,0.0059526134,0.12035099,cams_eac4
2003-01-16 15:00:00+00:00,0.07930766,0.06370977,0.047638636,0.031451277,0.0059633516,0.43023354,cams_eac4
2003-01-16 18:00:00+00:00,0.09490086,0.07595012,0.056452733,0.036972567,0.006039481,0.7753801,cams_eac4
2003-01-16 21:00:00+00:00,0.10556539,0.08429463,0.062481713,0.040870737,0.006058249,0.8731783,cams_eac4
2003-01-17 00:00:00+00:00,0.1555093,0.123428494,0.090566635,0.05826255,0.0060329866,0.9700045,cams_eac4
2003-01-17 03:00:00+00:00,0.18166858,0.14405195,0.105548956,0.06774735,0.006002746,0.99999994,cams_eac4
2003-01-17 06:00:00+00:00,0.18707995,0.14847617,0.10895079,0.0700506,0.0059983325,1.0000008,cams_eac4
2003-01-17 09:00:00+00:00,0.19836049,0.15767117,0.115918934,0.074618995,0.00601771,0.40530396,cams_eac4
