model,variable,lead_days,n,mae,rmse,bias,correlation,verification_source,inverse_mae,normalized_weight
ncep_hrrr_conus,direct_normal_irradiance,1,23246,89.05964036823539,197.35810123268706,3.3142390088617404,0.7968021625273306,openmeteo_historical_forecast_best_match,0.011228430699532296,0.6480874968799458
ncep_nbm_conus,cloud_cover,0,17111,24.62141312605926,32.151056484270626,-13.218923499503244,0.7138815780322665,openmeteo_historical_forecast_best_match,0.040615053038592724,4.061505029918833e-08
ncep_nbm_conus,cloud_cover,1,16850,28.72759643916914,36.241602731474146,-13.895192878338278,0.5986126162793579,openmeteo_historical_forecast_best_match,0.0348097343304549,0.3619351048179368
ncep_nbm_conus,cloud_cover,2,17064,31.172937177684013,38.4989352389585,-14.26799109235818,0.5195892930831034,openmeteo_historical_forecast_best_match,0.03207910740973991,0.587149106250489
ncep_nbm_conus,cloud_cover,3,17040,32.112089201877936,39.56515841701358,-14.82394366197183,0.48523815613845317,openmeteo_historical_forecast_best_match,0.03114091997295272,0.5875001013467235
ncep_nbm_conus,cloud_cover,4,17016,33.61800658204043,40.87803220178503,-14.900211565585332,0.4280311412166432,openmeteo_historical_forecast_best_match,0.029745963597205813,0.581028840966562
ncep_nbm_conus,cloud_cover,5,16992,34.99411487758945,41.64775559546228,-13.275306026365348,0.36098023786814853,openmeteo_historical_forecast_best_match,0.02857623356092967,0.572244973734526
ncep_nbm_conus,cloud_cover,6,16968,36.05905233380481,42.47555943666667,-13.582861857614333,0.31772784381052877,openmeteo_historical_forecast_best_match,0.027732287325324834,0.5691591142821494
ncep_nbm_conus,cloud_cover,7,16944,36.8975448536355,43.026846155452596,-13.206444759206798,0.2729856690604835,openmeteo_historical_forecast_best_match,0.027102074242792616,0.5700813369080985
ncep_nbm_conus,precipitation,0,17111,0.04267430307989013,0.548235543761011,0.0064987434983344045,0.3469130700720325,openmeteo_historical_forecast_best_match,23.4333059435771,2.343228342357032e-05
ncep_nbm_conus,precipitation,1,17088,0.04827364232209738,0.5392033805351413,0.011979166666666664,0.37856015893501294,openmeteo_historical_forecast_best_match,20.715238210692203,0.36105674189509285
ncep_nbm_conus,precipitation,2,17064,0.05250820440693858,0.543085073532035,0.014041256446319738,0.3383741815922943,openmeteo_historical_forecast_best_match,19.044642857142858,0.47816700326904626
ncep_nbm_conus,precipitation,3,17040,0.05706572769953051,0.5507858235958678,0.01705399061032864,0.30592356724013436,openmeteo_historical_forecast_best_match,17.52365281777047,0.48841530954765006
ncep_nbm_conus,precipitation,4,17016,0.05842148566055478,0.5507074349329742,0.016096614950634695,0.2964643111019857,openmeteo_historical_forecast_best_match,17.116990242430337,0.4687212390796945
ncep_nbm_conus,precipitation,5,16992,0.057191619585687394,0.5585525330740071,0.011581920903954802,0.2521272947697559,openmeteo_historical_forecast_best_match,17.485079234410367,0.4532857018354321
ncep_nbm_conus,precipitation,6,16968,0.056388495992456385,0.5594406430512494,0.010042432814710045,0.23869084602670487,openmeteo_historical_forecast_best_match,17.734113712374583,0.43443983607195397
ncep_nbm_conus,precipitation,7,16944,0.05605524079320114,0.5621133651820922,0.008628423040604344,0.21667906095113534,openmeteo_historical_forecast_best_match,17.83954516740366,0.45488486992534805
ncep_nbm_conus,shortwave_radiation,0,16974,41.26988335100742,84.68120096633874,16.68970189701897,0.9575298391899167,openmeteo_historical_forecast_best_match,0.02423074452367187,2.4230743439977845e-08
ncep_nbm_conus,diffuse_radiation,0,16974,33.399257688229056,65.9010405459987,4.736172970425357,0.845080566886493,openmeteo_historical_forecast_best_match,0.0299407851915353,2.994078363025344e-08
ncep_nbm_conus,direct_normal_irradiance,0,16974,90.77345940850714,165.56940171035987,16.140997996936495,0.8484718095157383,openmeteo_historical_forecast_best_match,0.01101643593310361,1.1016435735387333e-08
