time_utc,cams_uv_biologically_effective_dose,cams_uv_biologically_effective_dose_clear_sky,cams_surface_downward_uv_radiation,source,cams_total_aerosol_optical_depth_at_340_nm,cams_total_aerosol_optical_depth_at_355_nm,cams_total_aerosol_optical_depth_at_380_nm,cams_total_aerosol_optical_depth_at_400_nm,cams_total_absorption_aerosol_optical_depth_at_340_nm,cams_total_absorption_aerosol_optical_depth_at_355_nm,cams_total_absorption_aerosol_optical_depth_at_380_nm,cams_total_absorption_aerosol_optical_depth_at_400_nm,cams_single_scattering_albedo_at_340_nm,cams_single_scattering_albedo_at_355_nm,cams_single_scattering_albedo_at_380_nm,cams_single_scattering_albedo_at_400_nm,cams_asymmetry_factor_at_340_nm,cams_asymmetry_factor_at_355_nm,cams_asymmetry_factor_at_380_nm,cams_asymmetry_factor_at_400_nm,cams_gems_total_column_ozone,cams_total_column_vertically_integrated_water_vapour,cams_total_column_cloud_liquid_water,cams_total_column_cloud_ice_water,cams_total_cloud_cover,cams_forecast_albedo,cams_surface_direct_normal_short_wave_solar_radiation,cams_surface_short_wave_solar_radiation_downwards,cams_cycle
2026-09-23 10:00:00+00:00,0.0,0.0,1.529587e+06,cams_direct_forecast,0.2748355,0.26775527,0.2554352,0.24520981,0.013217375,0.012691438,0.011874399,0.0112679005,0.9519082,0.9526011,0.9535137,0.95404834,0.7135655,0.7145679,0.7156381,0.71609676,0.0061034295,26.170609,0.12472391,0.00064086914,1.0,0.16548818,1.4090687e+07,1.3082287e+07,2026-09-22T12:00Z
2026-09-23 11:00:00+00:00,0.0,0.0,1.529592e+06,cams_direct_forecast,0.256982,0.25033447,0.23877849,0.22919656,0.012796945,0.012288054,0.011497193,0.010907358,0.950198,0.9509085,0.95184493,0.9524059,0.70938045,0.71029866,0.7112178,0.7115642,0.0060938764,25.825317,0.12444377,6.1035156e-05,1.0,0.16544467,1.4090687e+07,1.3082462e+07,2026-09-22T12:00Z
2026-09-23 12:00:00+00:00,0.00095869356,0.0022713027,1.530808e+06,cams_direct_forecast,0.2512607,0.24485932,0.23371488,0.22445852,0.012458841,0.011963029,0.011192341,0.010618201,0.95041037,0.95113933,0.95210713,0.95269024,0.7095166,0.7105026,0.71155065,0.712007,0.00607836,25.676575,0.13061732,0.0,1.0,0.16466963,1.4099575e+07,1.3093676e+07,2026-09-22T12:00Z
2026-09-23 13:00:00+00:00,0.0052865716,0.0145166395,1.55693e+06,cams_direct_forecast,0.23683089,0.23076594,0.22020814,0.21143883,0.012156043,0.0116712,0.010917919,0.010358333,0.94864804,0.94940037,0.95039666,0.9509873,0.70709425,0.7080125,0.7089316,0.7092736,0.0060707573,25.622849,0.15570045,0.0,1.0,0.16442299,1.4130574e+07,1.327371e+07,2026-09-22T12:00Z
2026-09-23 14:00:00+00:00,0.014755905,0.041147,1.6127e+06,cams_direct_forecast,0.22661737,0.2208259,0.21073748,0.20235372,0.011869958,0.011395303,0.010658082,0.010110449,0.94759315,0.94836926,0.9493975,0.9500086,0.7055502,0.70642686,0.70727557,0.70755434,0.0060660774,25.741058,0.16682637,0.0,1.0000001,0.16422045,1.4302253e+07,1.3729304e+07,2026-09-22T12:00Z
2026-09-23 15:00:00+00:00,0.026993588,0.079004616,1.716117e+06,cams_direct_forecast,0.21136579,0.2058933,0.19637197,0.18846968,0.011346731,0.010892066,0.010185986,0.009660995,0.9462747,0.94705665,0.9480872,0.9486984,0.7030311,0.7037855,0.70441544,0.7045095,0.0060639344,26.089767,0.16574545,0.0,0.9999993,0.1640895,1.4650207e+07,1.4516586e+07,2026-09-22T12:00Z
2026-09-23 16:00:00+00:00,0.033416234,0.11613283,1.854867e+06,cams_direct_forecast,0.20672122,0.20141684,0.19218253,0.18451604,0.010782383,0.010349843,0.009678136,0.009175545,0.9478347,0.9486084,0.9496345,0.9502666,0.70418817,0.70499784,0.7057484,0.70594954,0.006064784,26.66542,0.19703455,0.0,1.0000017,0.16414708,1.5377957e+07,1.5696801e+07,2026-09-22T12:00Z
2026-09-23 17:00:00+00:00,0.031536333,0.13920356,2.037087e+06,cams_direct_forecast,0.2032857,0.19807109,0.18899138,0.18145302,0.010522182,0.010099657,0.009443559,0.008953058,0.9482407,0.94901097,0.9500327,0.95066017,0.7042858,0.7050993,0.7058667,0.70608217,0.0060647456,27.324112,0.3035127,0.0,1.0000035,0.16414708,1.6219296e+07,1.7101156e+07,2026-09-22T12:00Z
2026-09-23 18:00:00+00:00,0.028595947,0.13903832,2.208253e+06,cams_direct_forecast,0.20129594,0.19619995,0.18730436,0.1798992,0.010280897,0.009867726,0.009226113,0.008747212,0.9489282,0.9497074,0.95074403,0.9513788,0.70581895,0.70670474,0.70759326,0.70789903,0.0060743303,27.746506,0.3571033,0.0,0.999999,0.16414708,1.6701893e+07,1.8382272e+07,2026-09-22T12:00Z
2026-09-23 19:00:00+00:00,0.023433391,0.11574481,2.352292e+06,cams_direct_forecast,0.21305098,0.20778799,0.198569,0.19086778,0.0105261,0.010101839,0.009443273,0.008954762,0.95059246,0.9513827,0.95244217,0.9530827,0.7091415,0.71015275,0.7112682,0.7117521,0.0060867723,28.290375,0.34777164,0.0,1.0000002,0.1640895,1.6980924e+07,1.9550672e+07,2026-09-22T12:00Z
2026-09-23 20:00:00+00:00,0.017284425,0.07829259,2.494683e+06,cams_direct_forecast,0.2350805,0.22932616,0.21923783,0.21080409,0.0109474845,0.010504734,0.009817849,0.009312581,0.95342976,0.954192,0.9552175,0.95582277,0.71302456,0.71411854,0.71539176,0.7159959,0.006099383,28.703522,0.3215376,0.0,1.0000006,0.16417629,1.75238e+07,2.0718608e+07,2026-09-22T12:00Z
2026-09-23 21:00:00+00:00,0.011392075,0.04127437,2.592207e+06,cams_direct_forecast,0.2215789,0.21599898,0.20624998,0.1981265,0.011021332,0.010575018,0.009882433,0.00937359,0.9502482,0.9510287,0.9520711,0.9526726,0.7065773,0.70742404,0.7082439,0.70847636,0.006111097,28.74414,0.23479915,0.0,1.0000002,0.16436541,1.780867e+07,2.1501456e+07,2026-09-22T12:00Z
2026-09-23 22:00:00+00:00,0.0048573175,0.014807796,2.639718e+06,cams_direct_forecast,0.20048065,0.19538061,0.18648113,0.17907733,0.010803545,0.010366585,0.009688021,0.009188112,0.94606817,0.94689643,0.94800055,0.9486397,0.69793296,0.69857204,0.699011,0.69895905,0.006115614,28.408188,0.18004608,0.0,1.0,0.16459715,1.7920804e+07,2.1902576e+07,2026-09-22T12:00Z
2026-09-23 23:00:00+00:00,0.00092368346,0.0023560147,2.667958e+06,cams_direct_forecast,0.17686081,0.17223476,0.16419126,0.15752727,0.01018951,0.009778941,0.009140713,0.008670988,0.94234633,0.94318116,0.9442847,0.944908,0.6915855,0.691993,0.692016,0.6916599,0.0061112707,27.567383,0.1337927,0.0,0.9996308,0.16480058,1.799523e+07,2.2113264e+07,2026-09-22T12:00Z
2026-09-24 00:00:00+00:00,0.0,0.0,2.671432e+06,cams_direct_forecast,0.1569989,0.15284978,0.14564984,0.1396996,0.0094974525,0.009117096,0.008524711,0.00808872,0.9394774,0.9403225,0.9414393,0.9420645,0.68666434,0.68697506,0.6868296,0.6863817,0.0061015063,26.323517,0.11540204,0.0,0.99999994,0.16488642,1.8015668e+07,2.2140848e+07,2026-09-22T12:00Z
2026-09-24 01:00:00+00:00,0.0,0.0,2.671432e+06,cams_direct_forecast,0.14869499,0.14468604,0.137757,0.13205384,0.009156437,0.008791917,0.008223504,0.007801244,0.9384027,0.93921447,0.9402829,0.94089943,0.6828702,0.68308264,0.68276924,0.6822161,0.0061013727,25.387451,0.102534175,0.0,0.9999996,0.16488642,1.8015668e+07,2.2140848e+07,2026-09-22T12:00Z
2026-09-24 02:00:00+00:00,0.0,0.0,2.671432e+06,cams_direct_forecast,0.1486235,0.1446912,0.13788058,0.1322638,0.009238973,0.008872676,0.008301112,0.00787228,0.93782526,0.9386666,0.93978214,0.9404661,0.682695,0.6830307,0.68292665,0.6825512,0.006091816,24.877213,0.08641796,0.0,1.0000002,0.16488642,1.8015668e+07,2.2140848e+07,2026-09-22T12:00Z
2026-09-24 03:00:00+00:00,0.0,0.0,2.671432e+06,cams_direct_forecast,0.15285893,0.14889537,0.1420098,0.13631415,0.009586742,0.009207157,0.008614749,0.008168467,0.9372721,0.93815094,0.9393229,0.9400607,0.6844883,0.6849419,0.68503296,0.68481034,0.006082791,25.009384,0.091585174,0.0,0.9999993,0.16488642,1.8015668e+07,2.2140848e+07,2026-09-22T12:00Z
